rodadas,n,k,caso,p,analitico,simulado,erro_abs
10,10,1,k=1,0.0,0.0,0.0,0.0
10,10,1,k=1,0.05,0.401263,0.4,0.001263
10,10,1,k=1,0.1,0.651322,0.5,0.151322
10,10,1,k=1,0.15,0.803126,0.8,0.003126
10,10,1,k=1,0.2,0.892626,1.0,0.107374
10,10,1,k=1,0.25,0.943686,0.9,0.043686
10,10,1,k=1,0.3,0.971752,1.0,0.028248
10,10,1,k=1,0.35,0.986537,1.0,0.013463
10,10,1,k=1,0.4,0.993953,1.0,0.006047
10,10,1,k=1,0.45,0.997467,1.0,0.002533
10,10,1,k=1,0.5,0.999023,1.0,0.000977
10,10,1,k=1,0.55,0.999659,1.0,0.000341
10,10,1,k=1,0.6,0.999895,1.0,0.000105
10,10,1,k=1,0.65,0.999972,1.0,2.8e-05
10,10,1,k=1,0.7,0.999994,1.0,6e-06
10,10,1,k=1,0.75,0.999999,1.0,1e-06
10,10,1,k=1,0.8,1.0,1.0,0.0
10,10,1,k=1,0.85,1.0,1.0,0.0
10,10,1,k=1,0.9,1.0,1.0,0.0
10,10,1,k=1,0.95,1.0,1.0,0.0
10,10,1,k=1,1.0,1.0,1.0,0.0
10,10,5,k=n/2,0.0,0.0,0.0,0.0
10,10,5,k=n/2,0.05,6.4e-05,0.0,6.4e-05
10,10,5,k=n/2,0.1,0.001635,0.0,0.001635
10,10,5,k=n/2,0.15,0.009874,0.0,0.009874
10,10,5,k=n/2,0.2,0.032793,0.0,0.032793
10,10,5,k=n/2,0.25,0.078127,0.0,0.078127
10,10,5,k=n/2,0.3,0.150268,0.0,0.150268
10,10,5,k=n/2,0.35,0.248504,0.2,0.048504
10,10,5,k=n/2,0.4,0.366897,0.2,0.166897
10,10,5,k=n/2,0.45,0.495595,0.5,0.004405
10,10,5,k=n/2,0.5,0.623047,0.6,0.023047
10,10,5,k=n/2,0.55,0.738437,0.8,0.061563
10,10,5,k=n/2,0.6,0.833761,1.0,0.166239
10,10,5,k=n/2,0.65,0.905066,0.9,0.005066
10,10,5,k=n/2,0.7,0.952651,1.0,0.047349
10,10,5,k=n/2,0.75,0.980272,1.0,0.019728
10,10,5,k=n/2,0.8,0.993631,1.0,0.006369
10,10,5,k=n/2,0.85,0.998617,1.0,0.001383
10,10,5,k=n/2,0.9,0.999853,1.0,0.000147
10,10,5,k=n/2,0.95,0.999997,1.0,3e-06
10,10,5,k=n/2,1.0,1.0,1.0,0.0
10,10,10,k=n,0.0,0.0,0.0,0.0
10,10,10,k=n,0.05,0.0,0.0,0.0
10,10,10,k=n,0.1,0.0,0.0,0.0
10,10,10,k=n,0.15,0.0,0.0,0.0
10,10,10,k=n,0.2,0.0,0.0,0.0
10,10,10,k=n,0.25,1e-06,0.0,1e-06
10,10,10,k=n,0.3,6e-06,0.0,6e-06
10,10,10,k=n,0.35,2.8e-05,0.0,2.8e-05
10,10,10,k=n,0.4,0.000105,0.0,0.000105
